需求项,工作项,优先级,预计后端工时（小时）,预计前端工时（小时）,说明
"推荐卡片展示信息内容优化","舌象结果卡优化","P0",1.5,2.0,"优化舌象检测结果卡片展示【说明】优化推荐卡片展示信息内容"
"推荐卡片展示信息内容优化","体质结果卡优化","P0",1.0,2.0,"优化体质检测结果卡片展示【说明】优化推荐卡片展示信息内容"
"推荐卡片展示信息内容优化","食疗结果卡优化","P0",1.0,2.0,"优化食疗检测结果卡片展示【说明】优化推荐卡片展示信息内容"
"推荐卡片新增","调理方案推荐卡","P0",2.0,2.5,"展示推荐的调理方案【说明】新增调理相关推荐卡片"
"推荐卡片新增","调理启动卡（支付后启动前）","P0",1.5,2.0,"支付后的启动引导卡片【说明】新增调理相关推荐卡片"
"报告页调理方案入口","食疗/舌象报告底部调理入口","P1",1.0,1.5,"在食疗和舌象报告页底部添加调理方案入口【说明】在报告页面底部添加调理入口"
"生成调理方案","根据食疗生成调理方案","P0",2.0,0.5,"调用AI根据食疗结果生成调理方案【说明】根据不同检测结果生成调理方案"
"生成调理方案","根据舌象生成调理方案","P0",2.0,0.5,"调用AI根据舌象结果生成调理方案【说明】根据不同检测结果生成调理方案"
"生成调理方案","根据体质检测生成调理方案","P0",2.0,0.5,"调用AI根据体质检测结果生成调理方案【说明】根据不同检测结果生成调理方案"
"下单付款支付闭环","商品管理（纯后端代码）","P0",2.0,0.0,"商品信息管理、核销码生成【说明】实现完整的下单付款流程"
"下单付款支付闭环","地址管理/添加、选择地址页","P0",3.0,3.0,"地址CRUD操作、默认地址管理【说明】实现完整的下单付款流程"
"下单付款支付闭环","订单管理/确认订单页","P0",2.0,2.0,"订单确认、价格计算【说明】实现完整的下单付款流程"
"下单付款支付闭环","支付管理/微信支付","P0",4.0,2.0,"微信支付发起、回调处理【说明】实现完整的下单付款流程"
"总计","-","-",25.0,20.5,"-"
